id,name,value,expr,vary
1,amp,1.0,,True
2,enot,0.0,,True
3,delr,0.0,,True
4,ssc1,0.003,,True
5,ssc2,0.003,ssc1,False
6,ssc3,0.003,,True
7,ssc4,0.003,,True
8,ssr1,0.003,,True
9,ssr2,0.003,,True
10,ssr3,0.003,,True
